Country Name,Country Code,2004,2005,2006,2007
Benin,BEN,811,940,869,1076
Burkina Faso,BFA,548,532,673,714
Bangladesh,BGD,7257,9995,11745,13530
Bulgaria,BGR,10713,12703,16151,23263
Bahrain,BHR,10337,13397,15662,17314
"Bahamas, The",BHS,3161,3482,3558,3888
Bosnia and Herzegovina,BIH,3232,3550,4505,4078
Belarus,BLR,15710,18065,22200,27592
Belize,BLZ,535,609,744,788
Bermuda,BMU,0,0,0,0
Bolivia,BOL,2732,3395,4784,5484
Brazil,BRA,110744,135919,159214,186203
Barbados,BRB,1436,1712,1939,2044
Brunei Darussalam,BRN,5416,6688,8227,8310
Bhutan,BTN,220,313,489,657
Botswana,BWA,4444,5256,5292,5964
Central African Republic,CAF,178,179,209,240
Canada,CAN,381529,430267,464728,500338
Central Europe and the Baltics,CEB,354718,422597,512548,648165
Switzerland,CHE,202880,219836,243432,294204
Channel Islands,CHI,0,0,0,0
Chile,CHL,38094,47749,65633,75856
China,CHN,593264,764531,973211,1230720
Cote d'Ivoire,CIV,7682,8525,9322,9607
Cameroon,CMR,3061,3393,4130,4889
"Congo, Rep.",COG,3744,5123,6507,6592
Colombia,COL,19634,24696,28677,34305
Comoros,COM,57,57,60,71
Cabo Verde,CPV,296,367,500,477
Costa Rica,CRI,8602,9683,11067,12822
Caribbean small states,CSS,19017,23308,29288,29312
Cuba,CUB,6121,8963,9870,11918
Curacao,CUW,0,0,0,0
Cayman Islands,CYM,0,0,0,0
Cyprus,CYP,9854,10266,10725,12765
Czech Republic,CZE,68328,84742,101341,125664
Germany,DEU,999334,1079830,1236570,1479310
Djibouti,DJI,246,288,307,484
Dominica,DMA,130,129,144,148
Denmark,DNK,110049,125389,142993,164020
Dominican Republic,DOM,9381,10040,10731,11722
Algeria,DZA,34175,48715,57122,63531
East Asia & Pacific (developing only),EAP,1020490,1256000,1545380,1890140
East Asia & Pacific (all income levels),EAS,2853990,3288690,3815750,4442960
Europe & Central Asia (developing only),ECA,241546,285610,345567,436385
Europe & Central Asia (all income levels),ECS,5377840,5933000,6756610,7964430
Ecuador,ECU,8985,11463,14196,16288
"Egypt, Arab Rep.",EGY,22258,27214,32191,39470
Euro area,EMU,3545370,3813120,4271090,5075590
Eritrea,ERI,64,68,84,76
Spain,ESP,269302,285474,314519,380305
Estonia,EST,7419,9231,10770,14053
Ethiopia,ETH,1494,1858,2105,2489
European Union,EUU,4653420,5063310,5728280,6732610
Fragile and conflict affected situations,FCS,97395,121788,147124,178795
Finland,FIN,75931,82297,93488,112361
Fiji,FJI,1468,1598,1548,1670
France,FRA,550336,581084,631842,722460
Faeroe Islands,FRO,705,736,825,960
"Micronesia, Fed. Sts.",FSM,0,0,0,0
Gabon,GAB,4269,5742,6255,7280
United Kingdom,GBR,559810,621255,718296,759840
Georgia,GEO,1617,2164,2546,3175
Ghana,GHA,3491,3912,5142,6072
Guinea,GIN,903,1022,1190,1189
"Gambia, The",GMB,118,129,97,118
Guinea-Bissau,GNB,98,117,101,140
Equatorial Guinea,GNQ,4879,7183,8606,10565
Greece,GRC,49803,52821,57897,71752
Grenada,GRD,198,149,162,210
Greenland,GRL,0,0,0,0
Guatemala,GTM,6465,6818,7537,8721
Guam,GUM,0,0,0,0
Guyana,GUY,753,698,0,0
High income,HIC,9114030,10169100,11523000,13268000
"Hong Kong SAR, China",HKG,315629,353428,390556,431069
Honduras,HND,5125,5707,6077,6568
Heavily indebted poor countries (HIPC),HPC,58552,68096,82231,98241
Croatia,HRV,16403,17846,20005,23432
Haiti,HTI,543,605,689,779
Hungary,HUN,61919,70662,85253,108939
Indonesia,IDN,82744,97388,113143,127226
Isle of Man,IMN,0,0,0,0
India,IND,126648,160838,199974,253077
Not classified,INX,0,0,0,0
Ireland,IRL,155263,164817,176526,208616
"Iran, Islamic Rep.",IRN,47413,63474,72326,92050
Iraq,IRQ,20611,27149,33242,40777
Iceland,ISL,4479,5112,5314,7157
Israel,ISR,52835,57878,62478,72029
Italy,ITA,432727,456712,509513,604236
Jamaica,JAM,3820,3966,4788,5085
Jordan,JOR,5962,6635,8112,9280
Japan,JPN,615047,654356,704556,773111
Kazakhstan,KAZ,22655,30387,41292,51704
Kenya,KEN,4283,5342,5936,7005
Kyrgyz Republic,KGZ,941,942,1182,2012
Cambodia,KHM,3395,4033,4990,5644
Kiribati,KIR,12,15,11,21
St. Kitts and Nevis,KNA,194,227,236,233
"Korea, Rep.",KOR,292911,330601,376047,439918
Kosovo,KSV,0,0,530,748
Kuwait,KWT,33831,51692,66566,72695
Latin America & Caribbean (developing only),LAC,421379,496874,579544,655234
Lao PDR,LAO,723,934,1395,1457
Lebanon,LBN,7591,8050,7995,9395
Liberia,LBR,124,129,186,239
Libya,LBY,21117,30160,40430,49084
St. Lucia,LCA,464,525,440,457
Latin America & Caribbean (all income levels),LCN,635611,754182,882680,987691
Least developed countries: UN classification,LDC,71671,96350,120298,154304
Low income,LIC,30325,34116,39013,48263
Liechtenstein,LIE,0,0,0,0
Sri Lanka,LKA,7300,7892,8520,9419
Lower middle income,LMC,506014,609332,747227,876659
Low & middle income,LMY,2218060,2714100,3299440,3972260
Lesotho,LSO,696,669,765,832
Lithuania,LTU,10735,14087,16828,20035
Luxembourg,LUX,52634,60030,73949,92081
Latvia,LVA,5935,7375,8655,11928
"Macao SAR, China",MAC,10988,11154,13121,16879
St. Martin (French part),MAF,0,0,0,0
Morocco,MAR,16726,19234,22450,26891
Monaco,MCO,0,0,0,0
Moldova,MDA,1317,1528,1542,2088
Madagascar,MDG,1424,1422,1640,2227
Maldives,MDV,689,485,777,1804
Middle East & North Africa (all income levels),MEA,565362,748777,899078,1053270
Mexico,MEX,202070,230169,266428,289465
Marshall Islands,MHL,0,0,0,0
Middle income,MIC,2188160,2680310,3260680,3924370
"Macedonia, FYR",MKD,1745,2178,2593,3678
Mali,MLI,1237,1359,1884,1871
Malta,MLT,4425,4602,5505,6661
Myanmar,MMR,0,0,0,0
Middle East & North Africa (developing only),MNA,204958,264651,311776,377041
Montenegro,MNE,871,983,1331,1629
Mongolia,MNG,1211,1483,2029,2525
Northern Mariana Islands,MNP,0,0,0,0
Mozambique,MOZ,1759,2087,2722,2888
Mauritania,MRT,470,671,1420,1506
Mauritius,MUS,3450,3761,4068,4509
Malawi,MWI,655,662,705,1033
Malaysia,MYS,143928,162049,182517,205489
North America,NAC,1563100,1739230,1941120,2165040
Namibia,NAM,2630,2937,3628,4413
New Caledonia,NCL,0,0,0,0
Niger,NER,530,565,599,748
Nigeria,NGA,26495,35534,62697,56142
Nicaragua,NIC,1336,1541,1835,2164
Netherlands,NLD,409334,446527,498358,591200
High income: nonOECD,NOC,1530190,1857670,2179260,2471570
Norway,NOR,108690,134064,154283,173600
Nepal,NPL,1213,1186,1216,1327
New Zealand,NZL,30697,32449,33025,40159
High income: OECD,OEC,7581110,8310100,9343040,10795300
