Country Name,Country Code,2008,2009,2010,2011,2012,2013,2014
Benin,BEN,1312,1039,991,1040,1154,1518,1656
Burkina Faso,BFA,834,1063,1727,2681,2849,3166,3551
Bangladesh,BGD,16181,17360,18472,25627,26887,29305,34344
Bulgaria,BGR,28591,21964,26836,35488,33975,37260,37845
Bahrain,BHR,21231,15705,17880,22945,22853,0,0
"Bahamas, The",BHS,3797,3117,3223,3443,3733,3715,3739
Bosnia and Herzegovina,BIH,4911,4265,4901,5703,5219,5706,0
Belarus,BLR,37021,24865,29402,48462,51745,44058,43555
Belize,BLZ,854,690,813,894,983,988,0
Bermuda,BMU,0,2699,2705,2644,2589,2657,0
Bolivia,BOL,7488,6194,8093,10566,12775,13518,0
Brazil,BRA,229517,180892,237189,299972,288558,287520,270214
Barbados,BRB,2090,1905,2055,1699,1702,1592,0
Brunei Darussalam,BRN,11270,7812,10074,13297,13795,12270,0
Bhutan,BTN,586,565,673,750,706,728,711
Botswana,BWA,4999,3573,4926,6964,6278,8131,7876
Central African Republic,CAF,218,212,234,295,271,219,181
Canada,CAN,531714,389895,469047,546709,553579,555263,563927
Central Europe and the Baltics,CEB,769904,607197,695190,833145,809264,869375,0
Switzerland,CHE,347368,309906,373423,458002,446652,494530,0
Channel Islands,CHI,0,0,0,0,0,0,0
Chile,CHL,74557,63918,82795,95443,90993,89662,87167
China,CHN,1444800,1200770,1580770,1907310,2049320,2213300,2342540
Cote d'Ivoire,CIV,11414,12308,12600,13660,13108,13693,14864
Cameroon,CMR,5628,3750,4098,4889,4975,6108,7016
"Congo, Rep.",COG,8912,6756,10221,12591,11459,10780,11321
Colombia,COL,43403,37484,45739,62844,67495,66949,60583
Comoros,COM,73,75,82,93,94,105,113
Cabo Verde,CPV,574,462,481,587,0,0,0
Costa Rica,CRI,13557,12423,13855,15345,16849,17459,17372
Caribbean small states,CSS,36306,22964,24721,28811,27252,29601,0
Cuba,CUB,12506,10839,14519,17319,18659,18593,0
Curacao,CUW,0,0,0,0,0,0,0
Cayman Islands,CYM,0,0,0,0,0,0,0
Cyprus,CYP,13795,12116,12046,13419,12403,12228,12875
Czech Republic,CZE,149036,120995,136996,162791,158218,161291,171867
Germany,DEU,1630570,1291720,1443240,1681100,1622620,1699680,1757960
Djibouti,DJI,0,0,0,0,0,0,0
Dominica,DMA,157,148,174,191,160,175,184
Denmark,DNK,189863,149383,159010,180803,173929,182292,183561
Dominican Republic,DOM,11400,10117,11630,13752,14758,15568,16465
Algeria,DZA,82035,48534,61975,77581,77123,69659,63810
East Asia & Pacific (developing only),EAP,2199840,1842590,2408330,2893220,3055750,3238590,3389990
East Asia & Pacific (all income levels),EAS,5037450,4199380,5380790,6326360,6567820,6733200,6940060
Europe & Central Asia (developing only),ECA,561284,427165,502542,637040,661386,673275,672209
Europe & Central Asia (all income levels),ECS,8988100,7097250,7943420,9357270,9158240,9552280,9756010
Ecuador,ECU,21100,15786,19402,24672,26315,27570,28518
"Egypt, Arab Rep.",EGY,53800,47164,46731,48540,45809,49111,43520
Euro area,EMU,5613920,4491910,4908200,5690140,5503870,5785780,5930130
Eritrea,ERI,61,84,101,375,0,0,0
Spain,ESP,413929,339897,365360,430324,411004,439579,449768
Estonia,EST,16161,11950,14634,20050,20031,21419,21949
